cust_id	order_date	order_id	sales
1	4/13/2018	1	122.4205498
2	4/13/2018	2	25.13638718
3	4/13/2018	3	96.70683237
4	4/13/2018	4	53.43406961
5	4/13/2018	5	6.032782677
6	4/13/2018	6	106.8931816
7	4/13/2018	7	103.2398742
8	4/13/2018	8	79.80266766
9	4/13/2018	9	110.271798
10	4/13/2018	10	84.01985072
11	4/13/2018	11	48.7904494
12	4/13/2018	12	38.85678312
13	4/13/2018	13	115.9565609
14	4/13/2018	14	129.8474883
15	4/13/2018	15	125.1761537
16	4/13/2018	16	128.5515698
17	4/13/2018	17	31.06090104
18	4/13/2018	18	89.64960707
19	4/13/2018	19	86.61125392
20	4/13/2018	20	68.00201335
21	4/13/2018	21	48.52239265
22	4/13/2018	22	31.12693241
23	4/13/2018	23	106.3364227
24	4/13/2018	24	127.1762688
25	4/13/2018	25	39.2990293
