cust_id	session_id	date	tactic
17	1	4/5/2018	AFFILIATE
18	2	4/2/2018	SMS
6	3	4/5/2018	EMAIL
24	4	4/2/2018	SEM
13	5	4/7/2018	EMAIL
7	6	4/6/2018	PAID SOCIAL
1	7	4/5/2018	EMAIL
1	8	4/11/2018	EMAIL
5	9	4/11/2018	DIRECT LOAD
16	10	4/2/2018	SMS
10	11	4/10/2018	EMAIL
22	12	4/10/2018	SEM
23	13	4/8/2018	PAID SOCIAL
24	14	4/8/2018	SEO
3	15	4/7/2018	EMAIL
18	16	4/8/2018	DIRECT LOAD
17	17	4/3/2018	AFFILIATE
22	18	4/11/2018	PAID SOCIAL
24	19	4/9/2018	SEM
17	20	4/3/2018	SMS
17	21	4/4/2018	EMAIL
8	22	4/12/2018	DIRECT LOAD
21	23	4/9/2018	SEO
2	24	4/3/2018	AFFILIATE
25	25	4/3/2018	EMAIL
17	26	4/7/2018	AFFILIATE
18	27	4/10/2018	DIRECT LOAD
6	28	4/4/2018	DIRECT LOAD
11	29	4/7/2018	SMS
15	30	4/5/2018	EMAIL
20	31	4/9/2018	DIRECT LOAD
14	32	4/4/2018	AFFILIATE
19	33	4/8/2018	PAID SOCIAL
2	34	4/3/2018	SEM
5	35	4/3/2018	EMAIL
17	36	4/11/2018	EMAIL
2	37	4/9/2018	SEM
24	38	4/3/2018	PAID SOCIAL
18	39	4/2/2018	PAID SOCIAL
14	40	4/12/2018	SMS
20	41	4/6/2018	PAID SOCIAL
15	42	4/2/2018	EMAIL
20	43	4/12/2018	SMS
1	44	4/11/2018	SEM
8	45	4/4/2018	EMAIL
2	46	4/11/2018	EMAIL
1	47	4/9/2018	DIRECT LOAD
3	48	4/11/2018	AFFILIATE
20	49	4/5/2018	AFFILIATE
19	50	4/11/2018	AFFILIATE
8	51	4/12/2018	EMAIL
16	52	4/11/2018	SMS
20	53	4/9/2018	DIRECT LOAD
5	54	4/8/2018	AFFILIATE
22	55	4/5/2018	SEM
3	56	4/9/2018	DIRECT LOAD
22	57	4/4/2018	PAID SOCIAL
21	58	4/9/2018	AFFILIATE
9	59	4/2/2018	SMS
21	60	4/4/2018	AFFILIATE
4	61	4/7/2018	AFFILIATE
4	62	4/10/2018	SMS
18	63	4/3/2018	DIRECT LOAD
20	64	4/7/2018	DIRECT LOAD
25	65	4/6/2018	DIRECT LOAD
18	66	4/9/2018	SEM
3	67	4/9/2018	PAID SOCIAL
7	68	4/12/2018	SEO
17	69	4/5/2018	PAID SOCIAL
6	70	4/5/2018	AFFILIATE
19	71	4/8/2018	SEO
10	72	4/6/2018	SEO
14	73	4/3/2018	AFFILIATE
23	74	4/12/2018	SEO
10	75	4/8/2018	SEM
25	76	4/10/2018	SMS
13	77	4/11/2018	SEM
12	78	4/6/2018	PAID SOCIAL
8	79	4/11/2018	SEM
13	80	4/3/2018	DIRECT LOAD
25	81	4/3/2018	DIRECT LOAD
7	82	4/10/2018	DIRECT LOAD
11	83	4/10/2018	EMAIL
7	84	4/11/2018	SMS
15	85	4/8/2018	SMS
4	86	4/11/2018	PAID SOCIAL
15	87	4/2/2018	SEO
2	88	4/6/2018	SMS
10	89	4/6/2018	PAID SOCIAL
20	90	4/8/2018	EMAIL
25	91	4/4/2018	PAID SOCIAL
9	92	4/6/2018	EMAIL
18	93	4/12/2018	AFFILIATE
11	94	4/8/2018	PAID SOCIAL
17	95	4/5/2018	AFFILIATE
1	96	4/9/2018	EMAIL
22	97	4/3/2018	DIRECT LOAD
9	98	4/5/2018	SEO
21	99	4/8/2018	SEO
4	100	4/9/2018	AFFILIATE
2	101	4/11/2018	SMS
2	102	4/8/2018	SMS
13	103	4/11/2018	AFFILIATE
19	104	4/5/2018	EMAIL
14	105	4/2/2018	SMS
13	106	4/2/2018	SMS
20	107	4/11/2018	DIRECT LOAD
1	108	4/11/2018	SMS
4	109	4/4/2018	SEO
15	110	4/2/2018	EMAIL
12	111	4/9/2018	EMAIL
22	112	4/7/2018	AFFILIATE
16	113	4/10/2018	DIRECT LOAD
5	114	4/5/2018	SMS
14	115	4/8/2018	SEM
14	116	4/7/2018	SMS
18	117	4/6/2018	EMAIL
8	118	4/11/2018	SMS
17	119	4/11/2018	PAID SOCIAL
4	120	4/9/2018	DIRECT LOAD
15	121	4/9/2018	SEO
14	122	4/11/2018	AFFILIATE
21	123	4/11/2018	DIRECT LOAD
3	124	4/2/2018	AFFILIATE
18	125	4/11/2018	AFFILIATE
9	126	4/7/2018	SMS
11	127	4/12/2018	SEM
19	128	4/12/2018	SEO
25	129	4/6/2018	SMS
8	130	4/9/2018	PAID SOCIAL
24	131	4/12/2018	DIRECT LOAD
21	132	4/7/2018	EMAIL
1	133	4/2/2018	SEM
18	134	4/2/2018	SEO
11	135	4/11/2018	PAID SOCIAL
21	136	4/3/2018	AFFILIATE
21	137	4/11/2018	PAID SOCIAL
9	138	4/11/2018	SEM
19	139	4/5/2018	PAID SOCIAL
15	140	4/9/2018	EMAIL
6	141	4/8/2018	SEO
14	142	4/6/2018	EMAIL
10	143	4/11/2018	SEO
6	144	4/7/2018	SEM
16	145	4/11/2018	DIRECT LOAD
24	146	4/2/2018	DIRECT LOAD
3	147	4/4/2018	AFFILIATE
15	148	4/4/2018	AFFILIATE
4	149	4/4/2018	SEM
20	150	4/8/2018	SEM
14	151	4/11/2018	SEM
16	152	4/5/2018	PAID SOCIAL
9	153	4/3/2018	DIRECT LOAD
13	154	4/3/2018	AFFILIATE
21	155	4/11/2018	PAID SOCIAL
20	156	4/7/2018	AFFILIATE
6	157	4/4/2018	PAID SOCIAL
9	158	4/9/2018	DIRECT LOAD
17	159	4/7/2018	EMAIL
8	160	4/10/2018	SEM
18	161	4/12/2018	EMAIL
9	162	4/4/2018	SEO
17	163	4/11/2018	SMS
